iter	Logloss
0	0.6757098934
1	0.6610213338
2	0.6473404916
3	0.6358135721
4	0.6258833942
5	0.6174089693
6	0.6100408525
7	0.6034024245
8	0.5975376911
9	0.5935024809
10	0.5892775314
11	0.5854202139
12	0.5821773528
13	0.5793628034
14	0.5772740697
15	0.5752613111
16	0.5736573746
17	0.5715974417
18	0.5701238552
19	0.5687237519
20	0.5670343565
21	0.5657913971
22	0.564572898
23	0.5630732258
24	0.5617540016
25	0.5608421975
26	0.5599535772
27	0.5591973789
28	0.5583917405
29	0.5579270639
30	0.5572728485
31	0.5567483135
32	0.5562092793
33	0.555619873
34	0.5552229292
35	0.5548750879
36	0.5542031369
37	0.5539214465
38	0.5537106071
39	0.5532824489
40	0.5527795581
41	0.5523458022
42	0.5521309388
43	0.5518338318
44	0.5516008159
45	0.5513234626
46	0.5510412967
47	0.5506028786
48	0.550430702
49	0.5501544399
50	0.549994626
51	0.5498505929
52	0.5497368736
53	0.5492989985
54	0.5491110928
55	0.5490035325
56	0.548721553
57	0.5482518284
58	0.54794659
59	0.5477163754
60	0.5476112718
61	0.5473227522
62	0.5470177248
63	0.5469421197
64	0.5468305242
65	0.5465807484
66	0.546325676
67	0.5460662559
68	0.5459732443
69	0.5454923956
70	0.5452919625
71	0.5449897415
72	0.5448818416
73	0.5446610095
74	0.5445176641
75	0.5440577522
76	0.5437890645
77	0.5435468674
78	0.5434545321
79	0.5434024501
80	0.5431238314
81	0.5428457823
82	0.5427635213
83	0.542684827
84	0.5425509464
85	0.5422428676
86	0.5421291786
87	0.541894999
88	0.5418220904
89	0.5417668976
90	0.5414506756
91	0.5413326657
92	0.5412171238
93	0.5409195243
94	0.5407743777
95	0.5404876944
96	0.5404412675
97	0.5402488963
98	0.5401378922
99	0.5401155872
100	0.5399986728
101	0.539925876
102	0.5397457725
103	0.5397006251
104	0.5396219374
105	0.5394975039
106	0.5393679905
107	0.5390944731
108	0.5389876635
109	0.5387726919
110	0.5385795545
111	0.53842467
112	0.538239038
113	0.5379380294
114	0.5377587632
115	0.5377037524
116	0.5376809379
117	0.5376138938
118	0.5375787765
119	0.5374317271
120	0.5372558708
121	0.5371523496
122	0.5370626175
123	0.5369513245
124	0.5368915276
125	0.5368432555
126	0.5367879452
127	0.5366103567
128	0.5364555351
129	0.5362531439
130	0.5361670438
131	0.5359856812
132	0.5356978884
133	0.5355243382
134	0.5354404263
135	0.5352346298
136	0.535075825
137	0.5349619456
138	0.5349295237
139	0.5348716096
140	0.5347496195
141	0.5346189181
142	0.5345940282
143	0.534551056
144	0.5344230738
145	0.5340724085
