iter	Passed	Remaining
0	5	5908
1	11	5563
2	15	5297
3	20	5199
4	27	5407
5	32	5311
6	40	5699
7	45	5646
8	50	5588
9	58	5828
10	63	5752
11	71	5908
12	77	5892
13	83	5870
14	89	5904
15	95	5874
16	101	5891
17	107	5883
18	112	5833
19	119	5874
20	125	5841
21	130	5798
22	135	5766
23	142	5808
24	151	5907
25	158	5943
26	169	6098
27	175	6106
28	182	6104
29	187	6076
30	195	6115
31	202	6114
32	209	6141
33	216	6156
34	222	6132
35	227	6090
36	234	6106
37	240	6092
38	246	6072
39	251	6031
40	257	6024
41	263	6003
42	270	6028
43	276	6016
44	284	6028
45	289	6011
46	295	6001
47	302	5994
48	307	5967
49	312	5933
50	320	5970
51	325	5933
52	332	5941
53	338	5925
54	342	5890
55	349	5888
56	354	5864
57	359	5831
58	365	5835
59	370	5812
60	379	5844
61	385	5831
62	390	5809
63	400	5855
64	404	5825
65	410	5808
66	416	5793
67	421	5775
68	431	5819
69	436	5798
70	444	5822
71	451	5818
72	456	5800
73	462	5786
74	467	5767
75	475	5779
76	480	5763
77	486	5747
78	492	5736
79	496	5714
80	502	5701
81	510	5712
82	514	5686
83	520	5671
84	528	5692
85	539	5729
86	547	5747
87	553	5739
88	559	5725
89	564	5711
90	571	5710
91	576	5690
92	587	5727
93	591	5704
94	599	5709
95	604	5688
96	609	5669
97	616	5678
98	621	5660
99	629	5666
100	634	5651
101	639	5629
102	644	5608
103	649	5598
104	654	5581
105	662	5591
106	669	5586
107	674	5571
108	680	5563
109	685	5549
110	691	5536
111	696	5519
112	700	5500
113	707	5495
114	714	5494
115	722	5505
116	729	5502
117	734	5486
118	739	5475
119	745	5467
120	750	5452
121	757	5451
122	763	5442
123	768	5428
124	775	5426
125	780	5413
126	785	5400
127	791	5389
128	796	5376
129	806	5396
130	814	5400
131	820	5397
132	826	5390
133	835	5396
134	839	5378
135	847	5382
136	852	5370
137	857	5356
138	864	5354
139	870	5344
140	875	5335
141	882	5329
142	886	5314
143	891	5298
144	897	5292
145	902	5280
146	908	5274
147	914	5266
148	920	5255
149	926	5251
150	932	5241
151	937	5231
152	944	5228
153	950	5224
154	961	5242
155	967	5236
156	976	5245
157	984	5245
158	990	5237
159	994	5222
160	1003	5228
161	1008	5218
162	1013	5205
163	1019	5198
164	1024	5186
165	1029	5173
166	1035	5166
167	1040	5154
168	1045	5141
169	1052	5136
170	1057	5124
171	1062	5112
172	1067	5104
173	1072	5090
174	1076	5076
175	1082	5069
176	1087	5057
177	1092	5045
178	1097	5035
179	1103	5027
180	1108	5015
181	1114	5007
182	1119	5000
183	1124	4987
184	1130	4981
185	1135	4969
186	1140	4959
187	1147	4957
188	1154	4952
189	1165	4966
190	1170	4959
191	1179	4963
192	1185	4955
193	1197	4975
194	1208	4988
195	1213	4979
196	1222	4983
197	1231	4986
198	1242	5003
199	1249	4996
200	1255	4989
201	1262	4987
202	1267	4977
203	1274	4971
204	1280	4965
205	1287	4960
206	1292	4952
207	1299	4949
208	1304	4938
209	1310	4929
210	1317	4926
211	1322	4915
212	1330	4916
213	1334	4902
214	1340	4893
215	1348	4892
216	1353	4883
217	1358	4873
218	1365	4870
219	1372	4864
220	1378	4858
221	1383	4848
222	1390	4844
223	1395	4834
224	1400	4823
225	1405	4812
226	1413	4813
227	1418	4804
228	1425	4800
229	1431	4792
230	1437	4784
231	1442	4776
232	1448	4767
233	1453	4758
234	1460	4753
235	1465	4742
236	1472	4740
237	1478	4734
238	1484	4725
239	1491	4721
240	1496	4713
241	1503	4708
242	1508	4697
243	1512	4687
244	1519	4682
245	1524	4672
246	1529	4663
247	1539	4667
248	1544	4657
249	1553	4659
250	1559	4652
251	1564	4644
252	1572	4641
253	1578	4634
254	1586	4636
255	1592	4628
256	1599	4623
257	1604	4615
258	1613	4616
259	1618	4607
260	1624	4599
261	1630	4591
262	1634	4581
263	1640	4572
264	1649	4574
265	1658	4576
266	1663	4566
267	1668	4557
268	1677	4558
269	1684	4553
270	1696	4564
271	1709	4574
272	1718	4577
273	1730	4585
274	1739	4585
275	1745	4577
276	1750	4569
277	1756	4561
278	1760	4550
279	1765	4540
280	1771	4533
281	1776	4524
282	1781	4514
283	1788	4508
284	1793	4498
285	1804	4505
286	1810	4498
287	1818	4496
288	1824	4488
289	1830	4482
290	1835	4473
291	1840	4463
292	1850	4464
293	1859	4465
294	1865	4457
295	1870	4447
296	1877	4444
297	1882	4434
298	1888	4426
299	1897	4427
300	1902	4417
301	1907	4409
302	1914	4402
303	1919	4395
304	1926	4389
305	1931	4380
306	1936	4371
307	1943	4366
308	1950	4361
309	1957	4356
310	1962	4347
311	1967	4339
312	1974	4332
313	1979	4323
314	1985	4317
315	1990	4308
316	1995	4299
317	2002	4293
318	2007	4285
319	2011	4274
320	2016	4265
321	2023	4260
322	2032	4260
323	2037	4251
324	2042	4241
325	2049	4236
326	2054	4229
327	2060	4221
328	2066	4214
329	2071	4204
330	2077	4198
331	2082	4190
332	2087	4180
333	2092	4171
334	2098	4166
335	2103	4157
336	2110	4152
337	2115	4144
338	2121	4136
339	2128	4132
340	2134	4125
341	2139	4116
342	2146	4111
343	2155	4110
344	2165	4111
345	2171	4104
346	2177	4097
347	2182	4089
348	2188	4082
349	2193	4073
350	2198	4065
351	2205	4059
352	2210	4051
353	2218	4048
354	2223	4039
355	2227	4030
356	2236	4027
357	2241	4019
358	2246	4011
359	2252	4004
360	2258	3997
361	2266	3993
362	2271	3985
363	2276	3977
364	2283	3972
365	2288	3964
366	2294	3957
367	2300	3950
368	2306	3943
369	2313	3939
370	2319	3932
371	2326	3927
372	2331	3919
373	2337	3912
374	2344	3907
375	2349	3899
376	2354	3890
377	2362	3888
378	2367	3879
379	2375	3875
380	2380	3868
381	2386	3861
382	2393	3855
383	2398	3846
384	2406	3843
385	2410	3834
386	2415	3825
387	2421	3819
388	2427	3812
389	2433	3806
390	2440	3800
391	2445	3793
392	2454	3791
393	2459	3783
394	2465	3776
395	2470	3768
396	2475	3760
397	2483	3756
398	2489	3750
399	2500	3750
400	2505	3742
401	2512	3737
402	2519	3731
403	2527	3728
404	2532	3721
405	2537	3712
406	2545	3708
407	2550	3701
408	2555	3692
409	2562	3687
410	2567	3679
411	2573	3673
412	2578	3665
413	2583	3657
414	2589	3650
415	2596	3644
416	2604	3641
417	2612	3637
418	2617	3629
419	2628	3629
420	2633	3621
421	2640	3616
422	2645	3608
423	2654	3606
424	2664	3604
425	2669	3596
426	2675	3590
427	2681	3584
428	2688	3578
429	2693	3570
430	2698	3562
431	2710	3563
432	2716	3556
433	2722	3550
434	2727	3543
435	2736	3539
436	2741	3532
437	2746	3523
438	2753	3518
439	2757	3509
440	2764	3504
441	2769	3495
442	2773	3487
443	2779	3480
444	2785	3473
445	2790	3466
446	2796	3459
447	2803	3453
448	2809	3447
449	2814	3440
450	2821	3434
451	2829	3430
452	2835	3424
453	2841	3417
454	2848	3411
455	2853	3403
456	2860	3398
457	2866	3391
458	2872	3386
459	2878	3379
460	2884	3372
461	2892	3368
462	2897	3360
463	2910	3362
464	2922	3362
465	2928	3355
466	2936	3351
467	2942	3344
468	2949	3339
469	2956	3333
470	2961	3326
471	2969	3321
472	2975	3315
473	2984	3311
474	2989	3304
475	2996	3298
476	3001	3290
477	3006	3283
478	3017	3281
479	3021	3273
480	3028	3267
481	3033	3260
482	3038	3252
483	3046	3247
484	3052	3241
485	3060	3236
486	3065	3229
487	3075	3226
488	3082	3221
489	3091	3217
490	3097	3211
491	3103	3204
492	3109	3197
493	3113	3189
494	3120	3184
495	3126	3176
496	3133	3171
497	3139	3164
498	3144	3157
499	3151	3151
500	3157	3145
501	3164	3139
502	3171	3133
503	3177	3126
504	3184	3121
505	3190	3114
506	3198	3110
507	3204	3103
508	3211	3098
509	3222	3096
510	3233	3094
511	3239	3087
512	3245	3081
513	3253	3076
514	3263	3073
515	3271	3068
516	3282	3066
517	3287	3059
518	3294	3053
519	3301	3047
520	3307	3041
521	3314	3035
522	3323	3031
523	3329	3024
524	3341	3023
525	3347	3016
526	3356	3012
527	3362	3006
528	3371	3001
529	3378	2996
530	3386	2990
531	3392	2984
532	3399	2978
533	3404	2971
534	3413	2967
535	3419	2960
536	3425	2953
537	3433	2948
538	3440	2942
539	3448	2937
540	3457	2933
541	3465	2928
542	3475	2924
543	3480	2917
544	3489	2912
545	3494	2905
546	3500	2899
547	3509	2894
548	3514	2886
549	3523	2882
550	3528	2875
551	3533	2867
552	3541	2862
553	3545	2854
554	3553	2849
555	3558	2841
556	3564	2834
557	3572	2829
558	3578	2822
559	3585	2817
560	3591	2810
561	3598	2804
562	3604	2797
563	3609	2789
564	3615	2783
565	3621	2776
566	3626	2769
567	3631	2762
568	3637	2755
569	3642	2747
570	3648	2741
571	3654	2734
572	3658	2726
573	3666	2721
574	3673	2715
575	3683	2711
576	3690	2705
577	3699	2700
578	3705	2694
579	3711	2687
580	3718	2681
581	3723	2674
582	3729	2667
583	3734	2660
584	3741	2654
585	3748	2648
586	3755	2642
587	3762	2635
588	3767	2628
589	3774	2623
590	3779	2615
591	3785	2608
592	3790	2601
593	3796	2594
594	3803	2589
595	3808	2581
596	3814	2574
597	3820	2568
598	3828	2562
599	3835	2557
600	3841	2550
601	3848	2544
602	3855	2538
603	3861	2531
604	3866	2524
605	3872	2517
606	3879	2511
607	3884	2504
608	3890	2497
609	3896	2490
610	3900	2483
611	3906	2476
612	3911	2469
613	3916	2462
614	3921	2455
615	3927	2448
616	3932	2440
617	3938	2434
618	3943	2427
619	3948	2419
620	3953	2412
621	3960	2406
622	3965	2399
623	3971	2393
624	3977	2386
625	3982	2379
626	3988	2372
627	3996	2367
628	4002	2360
629	4007	2353
630	4015	2348
631	4022	2342
632	4028	2335
633	4034	2328
634	4038	2321
635	4050	2318
636	4060	2313
637	4070	2309
638	4077	2303
639	4083	2296
640	4088	2289
641	4095	2283
642	4100	2276
643	4109	2271
644	4115	2265
645	4121	2258
646	4127	2251
647	4132	2244
648	4138	2238
649	4144	2231
650	4149	2224
651	4156	2218
652	4162	2211
653	4167	2204
654	4173	2198
655	4180	2192
656	4187	2185
657	4193	2179
658	4199	2172
659	4205	2166
660	4211	2160
661	4218	2154
662	4224	2147
663	4231	2141
664	4236	2134
665	4242	2127
666	4248	2121
667	4255	2114
668	4260	2107
669	4266	2101
670	4271	2094
671	4276	2087
672	4283	2081
673	4288	2074
674	4297	2069
675	4303	2062
676	4309	2055
677	4315	2049
678	4320	2042
679	4331	2038
680	4337	2032
681	4345	2025
682	4350	2019
683	4355	2012
684	4362	2005
685	4368	1999
686	4376	1993
687	4381	1986
688	4388	1980
689	4394	1974
690	4401	1968
691	4408	1962
692	4413	1955
693	4420	1949
694	4425	1942
695	4430	1935
696	4437	1928
697	4441	1921
698	4447	1915
699	4454	1908
700	4458	1901
701	4464	1895
702	4470	1888
703	4474	1881
704	4480	1874
705	4486	1868
706	4492	1861
707	4500	1856
708	4506	1849
709	4513	1843
710	4519	1836
711	4524	1829
712	4532	1824
713	4537	1817
714	4546	1812
715	4552	1805
716	4560	1800
717	4565	1792
718	4569	1785
719	4575	1779
720	4587	1775
721	4593	1768
722	4599	1762
723	4610	1757
724	4616	1750
725	4623	1744
726	4628	1738
727	4633	1731
728	4640	1725
729	4647	1718
730	4657	1713
731	4672	1710
732	4684	1706
733	4689	1699
734	4694	1692
735	4702	1686
736	4708	1680
737	4713	1673
738	4718	1666
739	4724	1659
740	4728	1652
741	4735	1646
742	4743	1640
743	4754	1636
744	4759	1629
745	4765	1622
746	4770	1615
747	4775	1608
748	4783	1602
749	4788	1596
750	4794	1589
751	4800	1583
752	4805	1576
753	4810	1569
754	4817	1563
755	4823	1556
756	4829	1550
757	4837	1544
